SAVOONGA AIRPORT    AK - 702035                                                 														
 63 deg    41' N  170 deg    30' W - Elev   16m   LST=GMT+99 hours   *NT=-11    														
 06/87-09/02                                                                    							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	7	277	279	264	280	243	149	123	101	220	306	417	677	459
	8	281	287	310	237	269	151	125	121	202	300	395	646	431
	9	278	310	353	233	228	182	127	115	222	291	396	669	407
	10	289	351	325	227	263	167	141	134	213	293	401	678	402
	11	281	331	313	253	217	190	140	138	218	315	367	650	365
	12	291	315	339	268	271	185	140	148	238	328	407	697	365																									
	13	288	355	324	258	260	170	139	143	234	312	373	654	385																									
	14	309	334	379	260	258	182	139	167	245	323	394	663	368																									
	15	282	304	330	259	275	205	133	172	250	323	392	661	378																									
	16	295	325	343	282	248	215	138	161	247	320	346	630	317																									
	17	289	282	351	313	245	201	150	177	263	321	386	641	352																									
	18	297	355	412	292	247	193	143	157	261	283	383	585	342																									
	19	279	307	334	291	206	155	123	164	237	261	424	594	381																									
	20	277	306	372	305	221	138	102	132	250	269	379	625	379																									
	21	273	324	379	309	218	152	105	150	231	267	362	633	408																									
	22	277	290	430	271	211	140	91	114	230	283	373	692	378																									
	23	278	311	368	297	201	152	93	108	221	269	405	656	424																									

SPEED BY DIRECTION                                                              																																							
	Month	calm	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360
	ALL	0	6.4	7.05	6.98	6.32	5.87	5.48	5.04	4.94	5.41	6.17	6.76	6.23	5.6	5.85	6.44	7.11	7.27	7.41	7.14	6.6	6.59	6.71	6.49	6.26	6.33	6.28	6.02	5.26	4.64	4.12	4.05	4.41	4.63	5.37	5.91	6.27	6.4
	1	0	4.6	6.8	7.1	6.6	5.8	5.4	5.2	5.5	5.6	6.4	7.1	6	5	5.8	7	9.1	9.1	11	8.2	6.4	7.3	6.2	6.5	5.1	5.4	5.9	6.1	4.7	5	4.6	3.7	3.7	4	5.1	5.3	5.1	4.6
	2	0	5.9	7	6.8	5.6	5.1	5	5	5.5	5.9	6.6	7.1	6.2	5.6	6.4	6	7.9	11.7	9.7	9.1	5.5	5.7	7.4	5.3	6.5	6.2	5.3	6.6	5.1	4.2	3.9	3.6	4	5	5.3	5.8	5.3	5.9
	3	0	6.4	6.7	6.2	5.2	5	4.8	4.9	4.8	5.6	6.1	7	6	5.4	5.4	7.3	8	9.3	8.5	8	5.1	4.5	5.6	5.6	4.7	5.5	6.3	6	5.8	3.4	4.4	3.7	4.8	5.1	6	5.6	5.3	6.4
	4	0	4.9	5.6	6	4.9	5.1	4.9	4.4	4.4	5	5.5	6.1	5.4	4.7	6	6.3	6.8	7.2	8.8	7.7	6.3	7.4	8.9	8.4	5.9	6.4	6	5.8	5.7	3.5	3.5	4.3	4.7	4	4.3	5.2	5.1	4.9
	5	0	4.4	5	5.1	4.8	4.5	4.3	3.9	3.8	4.5	5.6	5.5	5.4	5.7	5.8	6.5	8.5	7.9	7.4	7.1	6.1	6.3	6.6	6.6	6	5.5	6	6.3	4.6	3.4	2.8	2.8	3.5	3.4	4.2	4.2	4	4.4
