Port Heiden Wind Speed and Direction				
Month	Day	Hour	Dir	Spd m/s
1	21	22	145	10.0
1	21	23	194	11.2
1	22	0	234	4.2
1	22	1	226	5.8
1	22	2	302	2.8
1	22	3	270	3.5
1	22	4	244	4.1
1	22	5	233	3.5
1	22	6	245	3.6
1	22	7	275	7.0
1	22	8	238	9.8
1	22	9	187	7.4
1	22	10	270	3.8
1	22	11	296	4.1
1	22	12	180	3.9
1	22	13	171	4.8
1	22	14	141	5.7
1	22	15	122	11.8
1	22	16	89	13.0
1	22	17	97	9.2
1	22	18	115	3.4
1	22	19	63	3.5
1	22	20	80	11.3
1	22	21	91	11.7
1	22	22	88	7.3
1	22	23	65	10.4
1	23	0	57	12.0
1	23	1	41	12.5
1	23	2	25	10.4
1	23	3	25	3.8
1	23	4	61	4.1
1	23	5	51	5.3
1	23	6	68	5.1
1	23	7	52	9.8
1	23	8	45	3.9
1	23	9	35	2.6
1	23	10	24	4.6
1	23	11	17	6.8
1	23	12	7	12.7
1	23	13	47	15.1
1	23	14	69	12.2
1	23	15	49	5.7
1	23	16	70	4.4
1	23	17	97	3.3
1	23	18	112	5.0
1	23	19	69	4.7
1	23	20	37	3.4
1	23	21	67	10.4
1	23	22	80	12.0
1	23	23	72	12.0
1	24	0	88	11.9
1	24	1	109	10.3
1	24	2	94	4.9
1	24	3	93	5.4
1	24	4	71	3.4
1	24	5	46	3.7
1	24	6	49	4.0
1	24	7	37	3.5
1	24	8	26	4.2
1	24	9	2	3.4
1	24	10	350	9.0
1	24	11	300	7.9
1	24	12	298	2.8
1	24	13	114	7.1
1	24	14	144	11.8
1	24	15	144	6.6
1	24	16	153	4.2
1	24	17	147	11.5
1	24	18	112	9.0
1	24	19	85	9.6
1	24	20	76	15.2
1	24	21	85	15.8
1	24	22	77	10.7
1	24	23	77	19.3
1	25	0	75	19.2
1	25	1	69	18.1
1	25	2	71	12.8
1	25	3	69	10.7
1	25	4	71	5.4
1	25	5	53	9.9
1	25	6	48	9.1
1	25	7	70	6.6
1	25	8	71	9.4
1	25	9	135	8.4
1	25	10	127	9.6
1	25	11	126	11.2
1	25	12	132	10.7
1	25	13	100	11.1
1	25	14	79	9.2
1	25	15	90	9.7
1	25	16	83	20.3
1	25	17	97	13.7
1	25	18	122	11.0
1	25	19	107	10.0
1	25	20	105	10.7
1	25	21	91	14.0
1	25	22	97	10.8
1	25	23	110	10.6
1	26	0	75	9.5
1	26	1	104	4.0
1	26	2	104	2.0
1	26	3	156	2.4
1	26	4	185	2.6
1	26	5	248	3.8
1	26	6	209	7.3
1	26	7	274	9.7
1	26	8	291	9.2
1	26	9	317	10.5
1	26	10	281	5.2
1	26	11	260	4.0
1	26	12	255	3.8
1	26	13	285	5.6
1	26	14	319	10.9
1	26	15	242	12.3
1	26	16	205	11.9
1	26	17	213	11.1
1	26	18	224	10.3
1	26	19	240	12.2
1	26	20	214	5.1
1	26	21	269	7.9
1	26	22	305	11.3
1	26	23	301	10.7
1	27	0	337	9.7
1	27	1	13	8.7
1	27	2	47	11.3
1	27	3	36	12.7
1	27	4	46	11.8
1	27	5	41	6.0
1	27	6	29	2.9
1	27	7	29	5.0
1	27	8	27	4.6
1	27	9	19	5.6
1	27	10	13	8.3
1	27	11	342	3.4
1	27	12	347	5.4
1	27	13	12	11.9
1	27	14	12	4.8
1	27	15	327	4.1
1	27	16	319	8.2
1	27	17	313	12.2
1	27	18	339	23.4
1	27	19	27	17.9
1	27	20	9	11.2
1	27	21	5	11.0
1	27	22	355	4.3
1	27	23	320	3.6
1	28	0	310	13.7
1	28	1	326	9.5
1	28	2	308	3.6
1	28	3	37	10.3
1	28	4	172	14.0
1	28	5	138	6.0
1	28	6	127	7.9
1	28	7	87	9.6
1	28	8	90	12.6
1	28	9	57	3.8
1	28	10	38	10.4
1	28	11	358	4.3
1	28	12	356	9.1
1	28	13	334	12.7
1	28	14	336	9.4
1	28	15	315	3.8
1	28	16	315	10.4
1	28	17	310	11.7
1	28	18	307	7.2
1	28	19	291	4.6
1	28	20	261	4.1
1	28	21	269	3.6
1	28	22	272	11.0
1	28	23	267	4.6
1	29	0	275	3.2
1	29	1	285	4.5
1	29	2	300	4.7
1	29	3	293	7.8
1	29	4	288	3.8
1	29	5	300	3.5
1	29	6	309	2.9
1	29	7	286	3.3
1	29	8	287	3.7
1	29	9	283	3.9
1	29	10	277	8.7
1	29	11	282	4.8
1	29	12	295	5.4
1	29	13	292	4.0
1	29	14	302	3.8
1	29	15	314	8.9
1	29	16	292	8.3
1	29	17	307	4.6
1	29	18	308	6.9
1	29	19	293	10.3
1	29	20	298	10.4
1	29	21	305	11.9
1	29	22	312	7.2
1	29	23	299	3.8
1	30	0	291	3.1
1	30	1	289	4.0
1	30	2	302	3.7
1	30	3	295	7.1
1	30	4	306	8.7
1	30	5	310	10.1
1	30	6	312	9.3
1	30	7	304	4.8
1	30	8	303	3.0
1	30	9	303	4.1
1	30	10	313	5.4
1	30	11	307	10.2
1	30	12	300	12.2
1	30	13	284	12.9
1	30	14	268	11.3
1	30	15	249	5.7
1	30	16	249	4.9
1	30	17	260	3.1
1	30	18	268	3.3
1	30	19	275	3.2
1	30	20	261	8.5
1	30	21	261	8.4
1	30	22	246	11.7
1	30	23	227	20.3
1	31	0	273	19.7
1	31	1	292	13.1
1	31	2	285	6.7
1	31	3	312	5.3
1	31	4	302	11.5
1	31	5	296	9.8
1	31	6	295	10.4
1	31	7	310	9.1
1	31	8	324	3.2
1	31	9	321	9.0
1	31	10	328	4.4
1	31	11	326	3.7
1	31	12	320	12.0
1	31	13	320	12.1
1	31	14	140	12.5
1	31	15	15	12.8
1	31	16	347	6.7
1	31	17	319	3.8
1	31	18	306	9.3
1	31	19	284	4.8
1	31	20	302	3.9
1	31	21	272	5.3
1	31	22	218	9.8
1	31	23	216	3.0
2	1	0	190	4.4
2	1	1	195	3.6
2	1	2	200	2.9
2	1	3	172	3.6
2	1	4	276	3.0
2	1	5	279	4.3
2	1	6	289	8.4
2	1	7	253	12.2
2	1	8	246	10.8
2	1	9	208	9.8
2	1	10	208	8.9
2	1	11	240	10.2
2	1	12	248	10.7
2	1	13	260	10.4
2	1	14	239	5.9
2	1	15	223	12.3
2	1	16	238	10.7
2	1	17	265	11.4
2	1	18	324	4.8
2	1	19	322	3.1
2	1	20	331	6.2
2	1	21	339	9.4
2	1	22	284	5.5
2	1	23	280	3.4
2	2	0	272	3.9
2	2	1	266	3.8
2	2	2	275	3.2
2	2	3	282	4.0
2	2	4	276	4.1
2	2	5	298	3.6
2	2	6	295	4.6
2	2	7	291	6.6
2	2	8	298	10.2
2	2	9	307	10.1
2	2	10	291	7.6
2	2	11	309	8.4
2	2	12	318	3.2
2	2	13	305	5.6
2	2	14	323	3.2
2	2	15	335	3.6
2	2	16	61	5.6
2	2	17	126	5.7
2	2	18	119	2.2
2	2	19	98	3.8
2	2	20	104	3.2
2	2	21	111	4.8
2	2	22	40	8.2
2	2	23	73	14.3
2	3	0	89	10.7
2	3	1	100	9.2
2	3	2	95	9.4
2	3	3	126	4.1
2	3	4	121	3.4
2	3	5	110	6.9
2	3	6	114	13.4
2	3	7	135	7.2
2	3	8	142	8.1
2	3	9	81	10.4
2	3	10	278	5.5
2	3	11	251	3.5
2	3	12	227	2.6
2	3	13	356	1.8
2	3	14	42	3.1
2	3	15	113	3.1
2	3	16	105	3.7
2	3	17	153	1.6
2	3	18	67	4.7
2	3	19	51	4.3
2	3	20	46	4.7
2	3	21	67	3.1
2	3	22	175	0.9
2	3	23	268	1.0
2	4	0	248	2.4
2	4	1	225	4.6
2	4	2	223	4.3
2	4	3	226	5.2
2	4	4	226	4.4
2	4	5	227	4.6
2	4	6	225	5.3
2	4	7	219	6.2
2	4	8	216	5.6
2	4	9	230	7.4
2	4	10	224	7.4
2	4	11	222	8.1
2	4	12	224	7.8
2	4	13	222	7.8
2	4	14	222	7.5
2	4	15	223	8.1
2	4	16	220	6.2
2	4	17	226	5.0
2	4	18	249	3.0
2	4	19	286	2.8
2	4	20	308	7.0
2	4	21	304	8.5
2	4	22	319	7.3
2	4	23	326	6.5
2	5	0	293	5.8
2	5	1	313	7.0
2	5	2	318	8.0
2	5	3	323	7.6
2	5	4	319	6.2
2	5	5	295	6.5
2	5	6	287	6.4
2	5	7	300	9.7
2	5	8	296	10.0
2	5	9	294	11.4
2	5	10	290	9.7
2	5	11	291	10.7
2	5	12	303	14.4
2	5	13	305	16.3
2	5	14	308	22.5
2	5	15	307	20.8
2	5	16	308	18.8
2	5	17	310	14.0
2	5	18	303	14.4
2	5	19	307	17.8
2	5	20	307	19.9
2	5	21	306	20.3
2	5	22	311	17.2
2	5	23	313	16.2
2	6	0	315	15.0
2	6	1	314	14.3
2	6	2	313	12.3
2	6	3	312	14.7
2	6	4	308	13.4
2	6	5	309	12.5
2	6	6	320	10.4
2	6	7	337	8.7
2	6	8	324	9.4
2	6	9	314	11.6
2	6	10	310	9.9
2	6	11	314	11.0
2	6	12	313	12.9
2	6	13	310	13.7
2	6	14	313	15.1
2	6	15	309	14.3
2	6	16	307	12.2
2	6	17	311	12.3
2	6	18	316	11.1
2	6	19	311	13.5
2	6	20	306	13.9
2	6	21	304	13.9
2	6	22	298	10.5
2	6	23	304	9.9
2	7	0	316	8.5
2	7	1	326	5.4
2	7	2	335	4.1
2	7	3	3	4.4
2	7	4	59	3.8
2	7	5	74	2.7
2	7	6	311	2.5
2	7	7	286	3.0
2	7	8	285	2.3
2	7	9	299	4.0
2	7	10	312	6.9
2	7	11	311	7.1
2	7	12	312	7.5
2	7	13	319	7.1
2	7	14	331	7.2
2	7	15	336	6.8
2	7	16	342	4.9
2	7	17	346	3.9
2	7	18	342	1.8
2	7	19	300	0.7
2	7	20	190	1.6
2	7	21	251	0.7
2	7	22	38	0.5
2	7	23	54	2.7
2	8	0	329	2.5
2	8	1	310	2.9
2	8	2	330	3.3
2	8	3	350	3.6
2	8	4	355	2.9
2	8	5	24	3.1
2	8	6	358	3.6
2	8	7	327	4.0
2	8	8	333	4.1
2	8	9	10	4.3
2	8	10	21	4.1
2	8	11	21	3.6
2	8	12	14	3.4
2	8	13	30	3.8
2	8	14	33	5.5
2	8	15	41	2.6
2	8	16	26	1.8
2	8	17	132	4.9
2	8	18	144	6.0
2	8	19	144	4.6
2	8	20	144	5.2
2	8	21	144	6.9
2	8	22	144	5.5
2	8	23	144	5.6
2	9	0	144	6.3
2	9	1	144	6.5
2	9	2	144	6.2
2	9	3	144	7.0
2	9	4	144	7.1
2	9	5	142	7.3
2	9	6	128	7.3
2	9	7	129	7.6
2	9	8	133	7.9
2	9	9	129	9.8
2	9	10	128	9.2
2	9	11	129	10.6
2	9	12	132	11.3
2	9	13	131	13.5
2	9	14	128	14.4
2	9	15	128	15.4
2	9	16	129	12.7
2	9	17	132	11.3
2	9	18	129	10.4
2	9	19	129	9.1
2	9	20	131	8.7
2	9	21	129	8.8
2	9	22	124	5.5
2	9	23	108	3.0
2	10	0	357	0.9
2	10	1	306	2.3
2	10	2	252	2.6
2	10	3	294	2.0
2	10	4	327	1.8
2	10	5	347	3.0
2	10	6	98	5.8
2	10	7	115	7.2
2	10	8	118	7.4
2	10	9	123	7.8
2	10	10	143	5.0
2	10	11	142	4.3
2	10	12	133	3.9
2	10	13	101	4.0
2	10	14	46	2.7
2	10	15	29	1.8
2	10	16	347	1.9
2	10	17	331	3.1
2	10	18	346	4.0
2	10	19	97	2.3
2	10	20	357	1.3
2	10	21	327	3.1
2	10	22	324	4.2
2	10	23	316	4.5
2	11	0	330	4.9
2	11	1	340	6.8
2	11	2	352	6.9
2	11	3	359	7.9
2	11	4	32	8.5
2	11	5	43	8.2
2	11	6	37	7.3
2	11	7	41	6.3
2	11	8	45	6.2
2	11	9	50	5.8
2	11	10	41	3.3
2	11	11	44	5.5
2	11	12	83	5.3
2	11	13	207	6.2
2	11	14	212	7.0
2	11	15	214	5.2
2	11	16	206	5.4
2	11	17	209	4.3
2	11	18	215	5.1
2	11	19	233	5.5
2	11	20	246	3.6
2	11	21	280	2.4
2	11	22	228	2.3
2	11	23	323	1.8
2	12	0	245	3.0
2	12	1	292	3.0
2	12	2	286	2.7
2	12	3	298	5.4
2	12	4	308	8.0
2	12	5	309	8.9
2	12	6	308	10.3
2	12	7	305	10.0
2	12	8	304	9.6
2	12	9	306	11.6
2	12	10	306	9.6
2	12	11	305	10.1
2	12	12	303	10.5
2	12	13	312	12.0
2	12	14	308	11.5
2	12	15	307	11.5
2	12	16	309	9.6
2	12	17	312	11.3
2	12	18	315	8.9
2	12	19	315	9.7
2	12	20	318	10.1
2	12	21	319	11.1
2	12	22	319	10.2
2	12	23	325	12.4
2	13	0	311	10.4
2	13	1	314	10.4
2	13	2	316	11.0
2	13	3	316	11.7
2	13	4	317	12.6
2	13	5	311	16.7
2	13	6	303	17.3
2	13	7	306	15.5
2	13	8	301	12.4
2	13	9	359	12.6
2	13	10	35	13.7
2	13	11	34	13.7
2	13	12	36	12.1
2	13	13	40	7.3
2	13	14	347	7.1
2	13	15	332	10.8
2	13	16	308	8.6
2	13	17	305	10.2
2	13	18	304	10.8
2	13	19	308	12.3
2	13	20	303	10.4
2	13	21	288	10.7
2	13	22	290	13.7
2	13	23	297	16.3
2	14	0	293	16.8
2	14	1	296	18.1
2	14	2	309	14.2
2	14	3	311	17.2
2	14	4	323	13.0
2	14	5	332	13.7
2	14	6	334	12.4
2	14	7	346	9.6
2	14	8	343	7.8
2	14	9	335	10.2
2	14	10	334	9.9
2	14	11	329	12.0
2	14	12	332	12.4
2	14	13	332	13.6
2	14	14	337	15.2
2	14	15	342	14.5
2	14	16	344	10.6
2	14	17	339	8.9
2	14	18	336	8.6
2	14	19	336	8.3
2	14	20	333	8.4
2	14	21	330	7.7
2	14	22	330	6.5
2	14	23	331	6.6
2	15	0	337	5.9
2	15	1	342	5.7
2	15	2	334	5.0
2	15	3	320	7.0
2	15	4	321	6.8
2	15	5	324	6.6
2	15	6	323	6.1
2	15	7	319	5.8
2	15	8	313	5.7
2	15	9	305	6.5
2	15	10	306	6.5
2	15	11	310	7.5
2	15	12	311	7.7
2	15	13	322	8.9
2	15	14	317	9.7
2	15	15	315	11.9
2	15	16	303	12.1
2	15	17	304	10.6
2	15	18	318	9.3
2	15	19	310	8.5
2	15	20	301	9.0
2	15	21	304	8.6
2	15	22	296	8.1
2	15	23	291	9.3
2	16	0	297	11.8
2	16	1	302	13.5
2	16	2	300	12.7
2	16	3	284	10.7
2	16	4	302	15.2
2	16	5	295	13.3
2	16	6	297	10.8
2	16	7	296	10.9
2	16	8	299	10.9
2	16	9	295	11.8
2	16	10	311	9.2
2	16	11	313	9.9
2	16	12	316	11.6
2	16	13	309	13.4
2	16	14	310	15.4
2	16	15	315	17.4
2	16	16	315	14.3
2	16	17	316	14.0
2	16	18	318	11.8
2	16	19	320	11.2
2	16	20	323	10.5
2	16	21	324	11.3
2	16	22	325	10.8
2	16	23	318	9.4
2	17	0	320	10.9
2	17	1	318	11.4
2	17	2	307	10.6
2	17	3	305	14.3
2	17	4	307	12.1
2	17	5	311	11.1
2	17	6	310	10.6
2	17	7	318	10.9
2	17	8	307	11.6
2	17	9	305	11.7
2	17	10	314	10.7
2	17	11	315	12.4
2	17	12	307	15.5
2	17	13	305	14.5
2	17	14	294	12.3
2	17	15	280	13.7
2	17	16	278	16.3
2	17	17	282	17.7
2	17	18	285	17.2
2	17	19	281	15.3
2	17	20	279	14.6
2	17	21	272	14.3
2	17	22	282	16.1
2	17	23	286	16.9
2	18	0	298	14.6
2	18	1	307	12.3
2	18	2	306	9.5
2	18	3	306	8.9
